office-name,ocd-division,directions,name,street,city,state,zip,start_time,end_time,start_date,end_date,notes
Marshall County,ocd-division/country:us/state:wv/county:marshall,,Marshall County Courthouse,600 7th Street,Moundsville,WV,26041,08:30:00 - 04:00,17:30:00 - 04:00,10/28/16,10/28/16,
Marshall County,ocd-division/country:us/state:wv/county:marshall,,Marshall County Courthouse,600 7th Street,Moundsville,WV,26041,09:00:00 - 04:00,17:00:00 - 04:00,10/29/16,10/29/16,
Marshall County,ocd-division/country:us/state:wv/county:marshall,,Marshall County Courthouse,600 7th Street,Moundsville,WV,26041,08:30:00 - 04:00,16:30:00 - 04:00,10/31/16,11/3/16,
Marshall County,ocd-division/country:us/state:wv/county:marshall,,Marshall County Courthouse,600 7th Street,Moundsville,WV,26041,08:30:00 - 04:00,17:30:00 - 04:00,11/4/16,11/4/16,
Marshall County,ocd-division/country:us/state:wv/county:marshall,,Marshall County Courthouse,600 7th Street,Moundsville,WV,26041,09:00:00 - 04:00,17:00:00 - 04:00,11/5/16,11/5/16,
Mason County,ocd-division/country:us/state:wv/county:mason,,Mason County Courthouse,200 6th Street,Point Pleasant,WV,25550,08:30:00 - 04:00,16:30:00 - 04:00,10/26/16,10/28/16,
Mason County,ocd-division/country:us/state:wv/county:mason,,Mason County Courthouse,200 6th Street,Point Pleasant,WV,25550,09:00:00 - 04:00,17:00:00 - 04:00,10/29/16,10/29/16,
Mason County,ocd-division/country:us/state:wv/county:mason,,Mason County Courthouse,200 6th Street,Point Pleasant,WV,25550,08:30:00 - 04:00,16:30:00 - 04:00,10/31/16,11/4/16,
Mason County,ocd-division/country:us/state:wv/county:mason,,Mason County Courthouse,200 6th Street,Point Pleasant,WV,25550,09:00:00 - 04:00,17:00:00 - 04:00,11/5/16,11/5/16,
Mcdowell County,ocd-division/country:us/state:wv/county:mcdowell, Ste 109,McDowell County Courthouse,90 Wyoming Street,Welch,WV,24801,09:00:00 - 04:00,17:00:00 - 04:00,10/26/16,10/29/16,
Mcdowell County,ocd-division/country:us/state:wv/county:mcdowell, Ste 109,McDowell County Courthouse,90 Wyoming Street,Welch,WV,24801,09:00:00 - 04:00,17:00:00 - 04:00,10/31/16,11/5/16,
Mercer County,ocd-division/country:us/state:wv/county:mercer,,Mercer County Courthouse,"1501 Main Street, Ste 121",Princeton,WV,24740,08:30:00 - 04:00,16:30:00 - 04:00,10/26/16,10/28/16,
