ocd_division,county,location_name,address_1,address_2,city,state,zip,start_time,end_time,start_date,end_date,is_only_by_appointment,is_or_by_appointment,appointment_phone_num,is_subject_to_change,index,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
ocd-division/country:us/state:mn/county:blue_earth,Blue Earth,Blue Earth County Government Center,410 S 5th St,,Mankato,MN,56002,800,1700,11-07-2016,11-07-2016,False,False,False,,269,"410 S 5th St, Mankato, MN 56002",,08:00 AM-05:00 PM,,ho79013503,false,true,,,,poll99698033
ocd-division/country:us/state:mn/county:brown,Brown,Brown County Courthouse,14 South State St,,New Ulm,MN,56073,800,1630,09-23-2016,09-23-2016,False,False,False,,270,"14 South State St, New Ulm, MN 56073",,08:00 AM-04:30 PM,,ho95182637,false,true,,,,poll36994080
ocd-division/country:us/state:mn/county:brown,Brown,Brown County Courthouse,14 South State St,,New Ulm,MN,56073,800,1630,09-26-2016,09-30-2016,False,False,False,,271,"14 South State St, New Ulm, MN 56073",,08:00 AM-04:30 PM,,ho95182637,false,true,,,,poll36994080
ocd-division/country:us/state:mn/county:brown,Brown,Brown County Courthouse,14 South State St,,New Ulm,MN,56073,800,1630,10-03-2016,10-07-2016,False,False,False,,272,"14 South State St, New Ulm, MN 56073",,08:00 AM-04:30 PM,,ho95182637,false,true,,,,poll36994080
ocd-division/country:us/state:mn/county:brown,Brown,Brown County Courthouse,14 South State St,,New Ulm,MN,56073,800,1630,10-10-2016,10-14-2016,False,False,False,,273,"14 South State St, New Ulm, MN 56073",,08:00 AM-04:30 PM,,ho95182637,false,true,,,,poll36994080
ocd-division/country:us/state:mn/county:brown,Brown,Brown County Courthouse,14 South State St,,New Ulm,MN,56073,800,1630,10-17-2016,10-21-2016,False,False,False,,274,"14 South State St, New Ulm, MN 56073",,08:00 AM-04:30 PM,,ho95182637,false,true,,,,poll36994080
ocd-division/country:us/state:mn/county:brown,Brown,Brown County Courthouse,14 South State St,,New Ulm,MN,56073,800,1630,10-24-2016,10-28-2016,False,False,False,,275,"14 South State St, New Ulm, MN 56073",,08:00 AM-04:30 PM,,ho95182637,false,true,,,,poll36994080
ocd-division/country:us/state:mn/county:brown,Brown,Brown County Courthouse,14 South State St,,New Ulm,MN,56073,800,1630,10-31-2016,11-04-2016,False,False,False,,276,"14 South State St, New Ulm, MN 56073",,08:00 AM-04:30 PM,,ho95182637,false,true,,,,poll36994080
ocd-division/country:us/state:mn/county:brown,Brown,Brown County Courthouse,14 South State St,,New Ulm,MN,56073,1000,1500,11-05-2016,11-05-2016,False,False,False,,277,"14 South State St, New Ulm, MN 56073",,10:00 AM-03:00 PM,,ho95182637,false,true,,,,poll36994080
ocd-division/country:us/state:mn/county:brown,Brown,Brown County Courthouse,14 South State St,,New Ulm,MN,56073,800,1700,11-07-2016,11-07-2016,False,False,False,,278,"14 South State St, New Ulm, MN 56073",,08:00 AM-05:00 PM,,ho95182637,false,true,,,,poll36994080
