office,name,adr_1,adr_2,dirs,city,state,zip,start_time,end_time,start_date,end_date,appt,ocd-id,index,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
Allakaket City,Alatna Tribal Council Office,7 Oscar Way,,,Allakaket,AK,99720,13:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:40,405,"7 Oscar Way, Allakaket, AK 99720",,01:00 PM - 05:00 PM,,ho82547413,false,true,,,,poll82547413
Allakaket City,Alatna Tribal Council Office,7 Oscar Way,,,Allakaket,AK,99720,13:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:40,406,"7 Oscar Way, Allakaket, AK 99720",,01:00 PM - 05:00 PM,,ho82547413,false,true,,,,poll82547413
Allakaket City,Alatna Tribal Council Office,7 Oscar Way,,,Allakaket,AK,99720,13:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:40,407,"7 Oscar Way, Allakaket, AK 99720",,01:00 PM - 05:00 PM,,ho82547413,false,true,,,,poll82547413
NANWALEK,NANWALEK COMMUNITY CENTER,700 N Main St,,,Nanwalek ,AK,99603,10:00:00 - 08:00,14:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:32,408,"700 N Main St, Nanwalek , AK 99603",,10:00 AM - 02:00 PM,,ho43303059,false,true,,,,poll43303059
NANWALEK,NANWALEK COMMUNITY CENTER,700 N Main St,,,Nanwalek ,AK,99603,10:00:00 - 08:00,14:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:32,409,"700 N Main St, Nanwalek , AK 99603",,10:00 AM - 02:00 PM,,ho43303059,false,true,,,,poll43303059
NANWALEK,NANWALEK COMMUNITY CENTER,700 N Main St,,,Nanwalek ,AK,99603,10:00:00 - 08:00,14:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:32,410,"700 N Main St, Nanwalek , AK 99603",,10:00 AM - 02:00 PM,,ho43303059,false,true,,,,poll43303059
SKAGWAY,SKAGWAY MUNICIPAL CLERK'S OFFICE,700 SPRING ST,,,Skagway,AK,99840,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:33,411,"700 Spring St, Skagway, AK 99840",,08:00 AM - 05:00 PM,,ho8000120,false,true,,,,poll8000120
SKAGWAY,SKAGWAY MUNICIPAL CLERK'S OFFICE,700 SPRING ST,,,Skagway,AK,99840,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:33,412,"700 Spring St, Skagway, AK 99840",,08:00 AM - 05:00 PM,,ho8000120,false,true,,,,poll8000120
SKAGWAY,SKAGWAY MUNICIPAL CLERK'S OFFICE,700 SPRING ST,,,Skagway,AK,99840,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:33,413,"700 Spring St, Skagway, AK 99840",,08:00 AM - 05:00 PM,,ho8000120,false,true,,,,poll8000120
TENAKEE SPRINGS,TENAKEE CITY CLERK'S OFFICE,707 E Tenakee Ave,,,Tenakee Springs,AK,99841,09:00:00 - 08:00,14:00:00 - 08:00,10/24/16,10/26/16,,ocd-division/country:us/state:ak/sldl:35,414,"707 E Tenakee Ave, Tenakee Springs, AK 99841",,09:00 AM - 02:00 PM,,ho55653521,false,true,,,,poll55653521
TENAKEE SPRINGS,TENAKEE CITY CLERK'S OFFICE,707 E Tenakee Ave,,,Tenakee Springs,AK,99841,09:00:00 - 08:00,14:00:00 - 08:00,10/31/16,11/2/16,,ocd-division/country:us/state:ak/sldl:35,415,"707 E Tenakee Ave, Tenakee Springs, AK 99841",,09:00 AM - 02:00 PM,,ho55653521,false,true,,,,poll55653521
TENAKEE SPRINGS,TENAKEE CITY CLERK'S OFFICE,707 E Tenakee Ave,,,Tenakee Springs,AK,99841,09:00:00 - 08:00,14:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:35,416,"707 E Tenakee Ave, Tenakee Springs, AK 99841",,09:00 AM - 02:00 PM,,ho55653521,false,true,,,,poll55653521
