name,loc_name,adr_1,adr_2,adr_3,city,state,zip,county,dirs,services,start_date,end_date,start_time,end_time,day_times,st_id,comments,index,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
"""Bernalillo County Visitor and Cultural Center""",Dona Ana County Government Center,850 N Motel Blvd.,,,Las Cruces,NM,88007,Doa Ana,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 27,10/29/16,10/29/16,10:00:00-07:00,18:00:00-7:00,"October 11 - November 5 Mon - Fri 8 AM - 5 PM, Sat 10 AM - 6 PM",,,338,"850 N Motel Blvd., Las Cruces, NM 88007",,10:00 AM - 06:00 PM,,ho88829929,false,true,,,,poll88829929
"""Bernalillo County Visitor and Cultural Center""",Dona Ana County Government Center,851 N Motel Blvd.,,,Las Cruces,NM,88007,Doa Ana,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 28,10/31/16,11/4/16,08:00:00-07:00,17:00:00-7:00,"October 11 - November 5 Mon - Fri 8 AM - 5 PM, Sat 10 AM - 6 PM",,,339,"851 N Motel Blvd., Las Cruces, NM 88007",,08:00 AM - 05:00 PM,,ho71735364,false,true,,,,poll71735364
"""Bernalillo County Visitor and Cultural Center""",Dona Ana County Government Center,852 N Motel Blvd.,,,Las Cruces,NM,88007,Doa Ana,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 29,11/5/16,11/5/16,10:00:00-07:00,18:00:00-7:00,"October 11 - November 5 Mon - Fri 8 AM - 5 PM, Sat 10 AM - 6 PM",,,340,"852 N Motel Blvd., Las Cruces, NM 88007",,10:00 AM - 06:00 PM,,ho70598396,false,true,,,,poll70598396
"""Calvary Chapel of Rio Rancho""",Sonoma Elementary School,4201 Northrise Dr,,,Las Cruces,NM,88011,Doa Ana,,Early Voting,10/22/16,10/22/16,11:00:00-07:00,19:00:00-7:00,October 22 - November 5 Tue - Sat 11 AM - 7 PM,,,341,"4201 Northrise Dr, Las Cruces, NM 88011",,11:00 AM - 07:00 PM,,ho61977867,false,true,,,,poll61977867
"""Calvary Chapel of Rio Rancho""",Sonoma Elementary School,4202 Northrise Dr,,,Las Cruces,NM,88011,Doa Ana,,Early Voting,10/25/16,10/29/16,11:00:00-07:00,19:00:00-7:00,October 22 - November 5 Tue - Sat 11 AM - 7 PM,,,342,"4202 Northrise Dr, Las Cruces, NM 88011",,11:00 AM - 07:00 PM,,ho67558590,false,true,,,,poll67558590
"""Calvary Chapel of Rio Rancho""",Sonoma Elementary School,4203 Northrise Dr,,,Las Cruces,NM,88011,Doa Ana,,Early Voting,11/1/16,11/5/16,11:00:00-07:00,19:00:00-7:00,October 22 - November 5 Tue - Sat 11 AM - 7 PM,,,343,"4203 Northrise Dr, Las Cruces, NM 88011",,11:00 AM - 07:00 PM,,ho74866675,false,true,,,,poll74866675
"""Las Placitas Presbyterian Church""",Anthony Elementary School,600 N 4th St,,,Anthony,NM,88021,Doa Ana,,Early Voting,10/22/16,10/22/16,11:00:00-07:00,19:00:00-7:00,October 22 - November 5 Tue - Sat 11 AM - 7 PM,,,344,"600 N 4th St, Anthony, NM 88021",,11:00 AM - 07:00 PM,,ho98728668,false,true,,,,poll98728668
"""Las Placitas Presbyterian Church""",Anthony Elementary School,601 N 4th St,,,Anthony,NM,88021,Doa Ana,,Early Voting,10/25/16,10/29/16,11:00:00-07:00,19:00:00-7:00,October 22 - November 5 Tue - Sat 11 AM - 7 PM,,,345,"601 N 4th St, Anthony, NM 88021",,11:00 AM - 07:00 PM,,ho68894911,false,true,,,,poll68894911
"""Las Placitas Presbyterian Church""",Anthony Elementary School,602 N 4th St,,,Anthony,NM,88021,Doa Ana,,Early Voting,11/1/16,11/5/16,11:00:00-07:00,19:00:00-7:00,October 22 - November 5 Tue - Sat 11 AM - 7 PM,,,346,"602 N 4th St, Anthony, NM 88021",,11:00 AM - 07:00 PM,,ho74807482,false,true,,,,poll74807482
"""Santa Ana Pueblo Community Center""",Bayard Community Center,290 Hurley Ave.,,,Bayard,NM,88023,Grant,,Early Voting,10/22/16,10/22/16,09:00:00-07:00,18:00:00-7:00,October 22 - November 5 Tue - Sat 9 AM - 6 PM,,,347,"290 Hurley Ave., Bayard, NM 88023",,09:00 AM - 06:00 PM,,ho85657958,false,true,,,,poll85657958
"""Santa Ana Pueblo Community Center""",Bayard Community Center,291 Hurley Ave.,,,Bayard,NM,88023,Grant,,Early Voting,10/25/16,10/29/16,09:00:00-07:00,18:00:00-7:00,October 22 - November 5 Tue - Sat 9 AM - 6 PM,,,348,"291 Hurley Ave., Bayard, NM 88023",,09:00 AM - 06:00 PM,,ho42235011,false,true,,,,poll42235011
"""Santa Ana Pueblo Community Center""",Bayard Community Center,292 Hurley Ave.,,,Bayard,NM,88023,Grant,,Early Voting,11/1/16,11/5/16,09:00:00-07:00,18:00:00-7:00,October 22 - November 5 Tue - Sat 9 AM - 6 PM,,,349,"292 Hurley Ave., Bayard, NM 88023",,09:00 AM - 06:00 PM,,ho46806037,false,true,,,,poll46806037
