ocd_division,county,location_name,address_1,address_2,dirs,city,state,zip,start_time,end_time,start_date,end_date,is_only_by_appointment,is_or_by_appointment,is_subject_to_change,index,name,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
ocd-division/country:us/state:mn/county:dakota,Dakota,Dakota County Western Service Center,14955 Galaxie Ave,,,Apple Valley,MN,55124,800,1800,10/18/16,10/18/16,False,False,False,532,Dakota County Western Service Center,"14955 Galaxie Ave, Apple Valley, MN 55124", ,08:00 AM-06:00 PM,,ho5296514,false,true,,,,poll58386470
ocd-division/country:us/state:mn/county:dakota,Dakota,Dakota County Western Service Center,14955 Galaxie Ave,,,Apple Valley,MN,55124,800,1630,10/19/16,10/19/16,False,False,False,533,Dakota County Western Service Center,"14955 Galaxie Ave, Apple Valley, MN 55124", ,08:00 AM-04:30 PM,,ho5296514,false,true,,,,poll58386470
ocd-division/country:us/state:mn/county:dakota,Dakota,Dakota County Western Service Center,14955 Galaxie Ave,,,Apple Valley,MN,55124,800,1800,10/20/16,10/20/16,False,False,False,534,Dakota County Western Service Center,"14955 Galaxie Ave, Apple Valley, MN 55124", ,08:00 AM-06:00 PM,,ho5296514,false,true,,,,poll58386470
ocd-division/country:us/state:mn/county:dakota,Dakota,Dakota County Western Service Center,14955 Galaxie Ave,,,Apple Valley,MN,55124,800,1630,10/21/16,10/21/16,False,False,False,535,Dakota County Western Service Center,"14955 Galaxie Ave, Apple Valley, MN 55124", ,08:00 AM-04:30 PM,,ho5296514,false,true,,,,poll58386470
ocd-division/country:us/state:mn/county:dakota,Dakota,Dakota County Western Service Center,14955 Galaxie Ave,,,Apple Valley,MN,55124,800,1630,10/24/16,10/24/16,False,False,False,536,Dakota County Western Service Center,"14955 Galaxie Ave, Apple Valley, MN 55124", ,08:00 AM-04:30 PM,,ho5296514,false,true,,,,poll58386470
ocd-division/country:us/state:mn/county:dakota,Dakota,Dakota County Western Service Center,14955 Galaxie Ave,,,Apple Valley,MN,55124,800,1800,10/25/16,10/25/16,False,False,False,537,Dakota County Western Service Center,"14955 Galaxie Ave, Apple Valley, MN 55124", ,08:00 AM-06:00 PM,,ho5296514,false,true,,,,poll58386470
ocd-division/country:us/state:mn/county:dakota,Dakota,Dakota County Western Service Center,14955 Galaxie Ave,,,Apple Valley,MN,55124,800,1630,10/26/16,10/26/16,False,False,False,538,Dakota County Western Service Center,"14955 Galaxie Ave, Apple Valley, MN 55124", ,08:00 AM-04:30 PM,,ho5296514,false,true,,,,poll58386470
ocd-division/country:us/state:mn/county:dakota,Dakota,Dakota County Western Service Center,14955 Galaxie Ave,,,Apple Valley,MN,55124,800,1800,10/27/16,10/27/16,False,False,False,539,Dakota County Western Service Center,"14955 Galaxie Ave, Apple Valley, MN 55124", ,08:00 AM-06:00 PM,,ho5296514,false,true,,,,poll58386470
ocd-division/country:us/state:mn/county:dakota,Dakota,Dakota County Western Service Center,14955 Galaxie Ave,,,Apple Valley,MN,55124,800,1630,10/28/16,10/28/16,False,False,False,540,Dakota County Western Service Center,"14955 Galaxie Ave, Apple Valley, MN 55124", ,08:00 AM-04:30 PM,,ho5296514,false,true,,,,poll58386470
ocd-division/country:us/state:mn/county:dakota,Dakota,Dakota County Western Service Center,14955 Galaxie Ave,,,Apple Valley,MN,55124,800,1630,10/31/16,10/31/16,False,False,False,541,Dakota County Western Service Center,"14955 Galaxie Ave, Apple Valley, MN 55124", ,08:00 AM-04:30 PM,,ho5296514,false,true,,,,poll58386470
ocd-division/country:us/state:mn/county:dakota,Dakota,Dakota County Western Service Center,14955 Galaxie Ave,,,Apple Valley,MN,55124,800,1800,11/1/16,11/1/16,False,False,False,542,Dakota County Western Service Center,"14955 Galaxie Ave, Apple Valley, MN 55124", ,08:00 AM-06:00 PM,,ho5296514,false,true,,,,poll58386470
ocd-division/country:us/state:mn/county:dakota,Dakota,Dakota County Western Service Center,14955 Galaxie Ave,,,Apple Valley,MN,55124,800,1630,11/2/16,11/2/16,False,False,False,543,Dakota County Western Service Center,"14955 Galaxie Ave, Apple Valley, MN 55124", ,08:00 AM-04:30 PM,,ho5296514,false,true,,,,poll58386470
ocd-division/country:us/state:mn/county:dakota,Dakota,Dakota County Western Service Center,14955 Galaxie Ave,,,Apple Valley,MN,55124,800,1800,11/3/16,11/3/16,False,False,False,544,Dakota County Western Service Center,"14955 Galaxie Ave, Apple Valley, MN 55124", ,08:00 AM-06:00 PM,,ho5296514,false,true,,,,poll58386470
ocd-division/country:us/state:mn/county:dakota,Dakota,Dakota County Western Service Center,14955 Galaxie Ave,,,Apple Valley,MN,55124,800,1630,11/4/16,11/4/16,False,False,False,545,Dakota County Western Service Center,"14955 Galaxie Ave, Apple Valley, MN 55124", ,08:00 AM-04:30 PM,,ho5296514,false,true,,,,poll58386470
ocd-division/country:us/state:mn/county:dakota,Dakota,Dakota County Western Service Center,14955 Galaxie Ave,,,Apple Valley,MN,55124,1000,1500,11/5/16,11/5/16,False,False,False,546,Dakota County Western Service Center,"14955 Galaxie Ave, Apple Valley, MN 55124", ,10:00 AM-03:00 PM,,ho5296514,false,true,,,,poll58386470
ocd-division/country:us/state:mn/county:dakota,Dakota,Dakota County Western Service Center,14955 Galaxie Ave,,,Apple Valley,MN,55124,800,1700,11/7/16,11/7/16,False,False,False,547,Dakota County Western Service Center,"14955 Galaxie Ave, Apple Valley, MN 55124", ,08:00 AM-05:00 PM,,ho5296514,false,true,,,,poll58386470
ocd-division/country:us/state:mn/place:eagan,Dakota,Eagan Municipal Center,3830 Pilot Knob Rd,,,Eagan,MN,55122,800,1630,9/23/16,9/23/16,False,False,False,548,Eagan Municipal Center,"3830 Pilot Knob Rd, Eagan, MN 55122", ,08:00 AM-04:30 PM,,ho14239928,false,true,,,,poll77864618
ocd-division/country:us/state:mn/place:eagan,Dakota,Eagan Municipal Center,3830 Pilot Knob Rd,,,Eagan,MN,55122,800,1630,9/26/16,9/30/16,False,False,False,549,Eagan Municipal Center,"3830 Pilot Knob Rd, Eagan, MN 55122", ,08:00 AM-04:30 PM,,ho14239928,false,true,,,,poll77864618
ocd-division/country:us/state:mn/place:eagan,Dakota,Eagan Municipal Center,3830 Pilot Knob Rd,,,Eagan,MN,55122,800,1630,10/3/16,10/7/16,False,False,False,550,Eagan Municipal Center,"3830 Pilot Knob Rd, Eagan, MN 55122", ,08:00 AM-04:30 PM,,ho14239928,false,true,,,,poll77864618
ocd-division/country:us/state:mn/place:eagan,Dakota,Eagan Municipal Center,3830 Pilot Knob Rd,,,Eagan,MN,55122,800,1630,10/10/16,10/14/16,False,False,False,551,Eagan Municipal Center,"3830 Pilot Knob Rd, Eagan, MN 55122", ,08:00 AM-04:30 PM,,ho14239928,false,true,,,,poll77864618
ocd-division/country:us/state:mn/place:eagan,Dakota,Eagan Municipal Center,3830 Pilot Knob Rd,,,Eagan,MN,55122,800,1630,10/17/16,10/21/16,False,False,False,552,Eagan Municipal Center,"3830 Pilot Knob Rd, Eagan, MN 55122", ,08:00 AM-04:30 PM,,ho14239928,false,true,,,,poll77864618
ocd-division/country:us/state:mn/place:eagan,Dakota,Eagan Municipal Center,3830 Pilot Knob Rd,,,Eagan,MN,55122,800,1630,10/24/16,10/28/16,False,False,False,553,Eagan Municipal Center,"3830 Pilot Knob Rd, Eagan, MN 55122", ,08:00 AM-04:30 PM,,ho14239928,false,true,,,,poll77864618
ocd-division/country:us/state:mn/place:eagan,Dakota,Eagan Municipal Center,3830 Pilot Knob Rd,,,Eagan,MN,55122,800,1630,10/31/16,11/4/16,False,False,False,554,Eagan Municipal Center,"3830 Pilot Knob Rd, Eagan, MN 55122", ,08:00 AM-04:30 PM,,ho14239928,false,true,,,,poll77864618
ocd-division/country:us/state:mn/place:eagan,Dakota,Eagan Municipal Center,3830 Pilot Knob Rd,,,Eagan,MN,55122,1000,1500,11/5/16,11/5/16,False,False,False,555,Eagan Municipal Center,"3830 Pilot Knob Rd, Eagan, MN 55122", ,10:00 AM-03:00 PM,,ho14239928,false,true,,,,poll77864618
ocd-division/country:us/state:mn/place:eagan,Dakota,Eagan Municipal Center,3830 Pilot Knob Rd,,,Eagan,MN,55122,800,1700,11/7/16,11/7/16,False,False,False,556,Eagan Municipal Center,"3830 Pilot Knob Rd, Eagan, MN 55122", ,08:00 AM-05:00 PM,,ho14239928,false,true,,,,poll77864618
ocd-division/country:us/state:mn/place:farmington,Dakota,Farmington City Hall,430 3rd St,,,Farmington,MN,55024,800,1630,9/23/16,9/23/16,False,False,False,557,Farmington City Hall,"430 3rd St, Farmington, MN 55024", ,08:00 AM-04:30 PM,,ho4300213,false,true,,,,poll61577531
ocd-division/country:us/state:mn/place:farmington,Dakota,Farmington City Hall,430 3rd St,,,Farmington,MN,55024,800,1630,9/26/16,9/30/16,False,False,False,558,Farmington City Hall,"430 3rd St, Farmington, MN 55024", ,08:00 AM-04:30 PM,,ho4300213,false,true,,,,poll61577531
ocd-division/country:us/state:mn/place:farmington,Dakota,Farmington City Hall,430 3rd St,,,Farmington,MN,55024,800,1630,10/3/16,10/7/16,False,False,False,559,Farmington City Hall,"430 3rd St, Farmington, MN 55024", ,08:00 AM-04:30 PM,,ho4300213,false,true,,,,poll61577531
ocd-division/country:us/state:mn/place:farmington,Dakota,Farmington City Hall,430 3rd St,,,Farmington,MN,55024,800,1630,10/10/16,10/14/16,False,False,False,560,Farmington City Hall,"430 3rd St, Farmington, MN 55024", ,08:00 AM-04:30 PM,,ho4300213,false,true,,,,poll61577531
ocd-division/country:us/state:mn/place:farmington,Dakota,Farmington City Hall,430 3rd St,,,Farmington,MN,55024,800,1630,10/17/16,10/21/16,False,False,False,561,Farmington City Hall,"430 3rd St, Farmington, MN 55024", ,08:00 AM-04:30 PM,,ho4300213,false,true,,,,poll61577531
