CTY,Ocd-id,Municipality,W/P,Voting Place,Voting Address,start_time,end_time,start_date,end_date
KEN,ocd-division/country:us/state:me/place:clinton,CLINTON,1-1,Clinton Town Office (Banquet Hall),27 Baker Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
WAS,ocd-division/country:us/state:me/place:codyville_plt,CODYVILLE PLT (with Topsfield),1-1,Topsfield Municipal Building ,48 North Road ,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
WAS,ocd-division/country:us/state:me/place:columbia,COLUMBIA,1-1,Columbia Town Hall ,106 Epping Road ,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
WAS,ocd-division/country:us/state:me/place:columbia_falls,COLUMBIA FALLS,1-1,Columbia Falls Municipal Building,8 Point Street,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:connor_twp,CONNOR TWP,1-1,Caribou Wellness & Recreation Center ,55 Bennett Drive ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
WAS,ocd-division/country:us/state:me/place:cooper,COOPER ,1-1,Cathance Grange Hall,Route 191-Cooper Highway,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
FRA,ocd-division/country:us/state:me/place:coplin_plt,COPLIN PLT  & Wyman Twp,1-1,Town Office ,5 Currie Street,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
PEN,ocd-division/country:us/state:me/place:corinna,CORINNA,1-1,Corinna Fire Annex,37 Exeter Road,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
PEN,ocd-division/country:us/state:me/place:corinth,CORINTH,1-1,Corinth Town Office Conference Room,31 Exeter Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
YOR,ocd-division/country:us/state:me/place:cornish,CORNISH,1-1,Pike Memorial Hall,17 Maple Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
SOM,ocd-division/country:us/state:me/place:cornville,CORNVILLE,1-1,Cornville Town Hall ,493 West Ridge Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
HAN,ocd-division/country:us/state:me/place:cornville,CRANBERRY ISLES,1-1,Great Cranberry Island Community Center ,191 Cranberry Road ,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
HAN,ocd-division/country:us/state:me/place:cranberry_isles,CRANBERRY ISLES,2-1,Islesford Neighborhood House ,10 Mosswood Road ,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
