CTY,Ocd-id,Municipality,W/P,Voting Place,Voting Address,start_time,end_time,start_date,end_date
ARO,ocd-division/country:us/state:me/place:westfield,WESTFIELD,1-1,Westfield Town Office ,6 Main Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:westmanland,WESTMANLAND ,1-1,Westmanland Town Hall,Westmanland Road,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:weston,WESTON,1-1,Weston Town Office ,5 Church Lane ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
LIN,ocd-division/country:us/state:me/place:westport_island,WESTPORT ISLAND ,1-1,Westport Island Old Town Hall ,1217 Main Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
LIN,ocd-division/country:us/state:me/place:whitefield,WHITEFIELD ,1-1,Whitefield Fire and Rescue,26 Townhouse Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
WAS,ocd-division/country:us/state:me/place:whiting,WHITING ,1-1,Whiting Community Building ,169 US Route 1 ,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
WAS,ocd-division/country:us/state:me/place:whitneyville,WHITNEYVILLE,1-1,Hillgrove Community Building,42 South Main Street,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
PIS,ocd-division/country:us/state:me/place:willimantic,WILLIMANTIC,1-1,Willimantic Town Hall,2360 Elliottsville Road,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
FRA,ocd-division/country:us/state:me/place:wilton,WILTON,1-1,Wilton Town Office,158 Weld Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
CUM,ocd-division/country:us/state:me/place:windham,WINDHAM,1-1,Windham High School Main Gym,406 Gray Road ,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
KEN,ocd-division/country:us/state:me/place:windsor,WINDSOR,1-1,Windsor Town Hall ,523 Ridge Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
PEN,ocd-division/country:us/state:me/place:winn,WINN,1-1,Winn Community Hall (Town Office) ,24 Main Street ,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
KEN,ocd-division/country:us/state:me/place:winslow,WINSLOW,1-1,V F W ,175 Veteran Drive ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
HAN,ocd-division/country:us/state:me/place:winter_harbor,WINTER HARBOR,1-1,Municipal Building,20 School Street,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
WAL,ocd-division/country:us/state:me/place:winterport,WINTERPORT,1-1,Samuel L Wagner Middle School ,19 Williams Way,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:winterville_plt,WINTERVILLE PLT,1-1,Winterville Plantation Office ,391 Quimby Road ,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
KEN,ocd-division/country:us/state:me/place:winthrop,WINTHROP,1-1,Winthrop Town Office ,17 Highland Avenue ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
LIN,ocd-division/country:us/state:me/place:wiscasset,WISCASSET,1-1,Wiscasset Community Center,242 Gardiner Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:woodland,WOODLAND ,1-1,Woodland Public Highway Garage,843 Woodland Center Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
OXF,ocd-division/country:us/state:me/place:woodstock,WOODSTOCK & Milton Twp,1-1,Woodstock Town Office ,26 Monk Avenue ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
PEN,ocd-division/country:us/state:me/place:woodville,WOODVILLE,1-1,South Woodville Schoolhouse ,Woodville Road ,09:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
SAG,ocd-division/country:us/state:me/place:woolwich,WOOLWICH,1-1,Woolwich Central School,137 Nequasset Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
CUM,ocd-division/country:us/state:me/place:yarmouth,YARMOUTH,1-1,Robert W. Boyd Amvets Post #2 ,148 North Road ,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
YOR,ocd-division/country:us/state:me/place:york,YORK,1-1,York High School-Robert E. Butler Gymnasium ,1 Robert Stevens Drive ,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
