ocd-division,County,Location Name,Address 1,Address 2,dirs,city,state,zip,start_time,end_time,start_date,end_date,is_only_by_appointment,is_or_by_appointment,Appointment Phone #,is_subject_to_change,is_drop_box
ocd-division/country:us/state:ca/county:kings,Kings County,Registrar of Voters-Recorder-County Clerk,1400 W. Lacey Blvd.,,,Hanford,CA,93230,08:00:00 - 07:00,17:00:00 - 07:00,10/17/16,10/21/16,FALSE,FALSE,FALSE,FALSE,
ocd-division/country:us/state:ca/county:kings,Kings County,Registrar of Voters-Recorder-County Clerk,1400 W. Lacey Blvd.,,,Hanford,CA,93230,08:00:00 - 07:00,17:00:00 - 07:00,10/24/16,10/28/16,FALSE,FALSE,FALSE,FALSE,
ocd-division/country:us/state:ca/county:kings,Kings County,Registrar of Voters-Recorder-County Clerk,1400 W. Lacey Blvd.,,,Hanford,CA,93230,08:00:00 - 07:00,17:00:00 - 07:00,10/31/16,11/4/16,FALSE,FALSE,FALSE,FALSE,
ocd-division/country:us/state:ca/county:kings,Kings County,Registrar of Voters-Recorder-County Clerk,1400 W. Lacey Blvd.,,,Hanford,CA,93230,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,FALSE,FALSE,FALSE,FALSE,
ocd-division/country:us/state:ca/county:lassen,Lassen County,County Clerk-Recorder,"220 S. Lassen Street, Ste 5",,,Susanville,CA,96130,9:00:00 - 07:00,12:00:00 - 07:00,10/10/16,10/14/16,FALSE,FALSE,FALSE,FALSE,
ocd-division/country:us/state:ca/county:lassen,Lassen County,County Clerk-Recorder,"220 S. Lassen Street, Ste 5",,,Susanville,CA,96130,9:00:00 - 07:00,12:00:00 - 07:00,10/17/16,10/21/16,FALSE,FALSE,FALSE,FALSE,
ocd-division/country:us/state:ca/county:lassen,Lassen County,County Clerk-Recorder,"220 S. Lassen Street, Ste 5",,,Susanville,CA,96130,9:00:00 - 07:00,12:00:00 - 07:00,10/24/16,10/28/16,FALSE,FALSE,FALSE,FALSE,
ocd-division/country:us/state:ca/county:lassen,Lassen County,County Clerk-Recorder,"220 S. Lassen Street, Ste 5",,,Susanville,CA,96130,9:00:00 - 07:00,12:00:00 - 07:00,10/31/16,11/4/16,FALSE,FALSE,FALSE,FALSE,
ocd-division/country:us/state:ca/county:lassen,Lassen County,County Clerk-Recorder,"220 S. Lassen Street, Ste 5",,,Susanville,CA,96130,09:00:00 - 08:00,12:00:00 - 08:00,11/7/16,11/7/16,FALSE,FALSE,FALSE,FALSE,
ocd-division/country:us/state:ca/county:lassen,Lassen County,County Clerk-Recorder,"220 S. Lassen Street, Ste 5",,,Susanville,CA,96130,13:00:00 - 07:00,16:30:00 - 07:00,10/10/16,10/14/16,FALSE,FALSE,FALSE,FALSE,
ocd-division/country:us/state:ca/county:lassen,Lassen County,County Clerk-Recorder,"220 S. Lassen Street, Ste 5",,,Susanville,CA,96130,13:00:00 - 07:00,16:30:00 - 07:00,10/17/16,10/21/16,FALSE,FALSE,FALSE,FALSE,
ocd-division/country:us/state:ca/county:lassen,Lassen County,County Clerk-Recorder,"220 S. Lassen Street, Ste 5",,,Susanville,CA,96130,13:00:00 - 07:00,16:30:00 - 07:00,10/24/16,10/28/16,FALSE,FALSE,FALSE,FALSE,
ocd-division/country:us/state:ca/county:lassen,Lassen County,County Clerk-Recorder,"220 S. Lassen Street, Ste 5",,,Susanville,CA,96130,13:00:00 - 07:00,16:30:00 - 07:00,10/31/16,11/4/16,FALSE,FALSE,FALSE,FALSE,
ocd-division/country:us/state:ca/county:lassen,Lassen County,County Clerk-Recorder,"220 S. Lassen Street, Ste 5",,,Susanville,CA,96130,13:00:00 - 08:00,16:30:00 - 08:00,11/7/16,11/7/16,FALSE,FALSE,FALSE,FALSE,
ocd-division/country:us/state:ca/county:los_angeles,Los Angeles County,Election Office,12400 Imperial Hwy.,,,Norwalk,CA,90650,08:00:00 - 07:00,17:00:00 - 07:00,10/11/16,10/14/16,FALSE,FALSE,FALSE,FALSE,
ocd-division/country:us/state:ca/county:los_angeles,Los Angeles County,Election Office,12400 Imperial Hwy.,,,Norwalk,CA,90650,08:00:00 - 07:00,17:00:00 - 07:00,10/17/16,10/21/16,FALSE,FALSE,FALSE,FALSE,
ocd-division/country:us/state:ca/county:los_angeles,Los Angeles County,Election Office,12400 Imperial Hwy.,,,Norwalk,CA,90650,08:00:00 - 07:00,17:00:00 - 07:00,10/24/16,10/28/16,FALSE,FALSE,FALSE,FALSE,
ocd-division/country:us/state:ca/county:los_angeles,Los Angeles County,Election Office,12400 Imperial Hwy.,,,Norwalk,CA,90650,08:00:00 - 07:00,16:00:00 - 07:00,10/29/16,10/29/16,FALSE,FALSE,FALSE,FALSE,
ocd-division/country:us/state:ca/county:los_angeles,Los Angeles County,Election Office,12400 Imperial Hwy.,,,Norwalk,CA,90650,08:00:00 - 07:00,17:00:00 - 07:00,10/31/16,11/4/16,FALSE,FALSE,FALSE,FALSE,
ocd-division/country:us/state:ca/county:los_angeles,Los Angeles County,Election Office,12400 Imperial Hwy.,,,Norwalk,CA,90650,08:00:00 - 07:00,16:00:00 - 07:00,11/5/16,11/5/16,FALSE,FALSE,FALSE,FALSE,
ocd-division/country:us/state:ca/county:los_angeles,Los Angeles County,Election Office,12400 Imperial Hwy.,,,Norwalk,CA,90650,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,FALSE,FALSE,FALSE,FALSE,
ocd-division/country:us/state:ca/county:madera,Madera County,Office of the County Clerk-Recorder,200 W. 4th Street,,,Madera,CA,93637,08:00:00 - 07:00,17:00:00 - 07:00,10/10/16,10/14/16,FALSE,FALSE,FALSE,FALSE,
ocd-division/country:us/state:ca/county:madera,Madera County,Office of the County Clerk-Recorder,200 W. 4th Street,,,Madera,CA,93637,08:00:00 - 07:00,17:00:00 - 07:00,10/17/16,10/21/16,FALSE,FALSE,FALSE,FALSE,
ocd-division/country:us/state:ca/county:madera,Madera County,Office of the County Clerk-Recorder,200 W. 4th Street,,,Madera,CA,93637,08:00:00 - 07:00,17:00:00 - 07:00,10/24/16,10/28/16,FALSE,FALSE,FALSE,FALSE,
ocd-division/country:us/state:ca/county:madera,Madera County,Office of the County Clerk-Recorder,200 W. 4th Street,,,Madera,CA,93637,08:00:00 - 07:00,17:00:00 - 07:00,10/31/16,11/4/16,FALSE,FALSE,FALSE,FALSE,
