entry_name,county,loc_name,address_1,address_2,address_3,city,state,zip,dirs,services,start_time,end_time,start_date,end_date,days_times_open,state_id,index,name,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
Cedar City Council Chambers,Iron,Cedar City Council Chambers,10 North Main St,,,Cedar City,UT,84720,,,09:00:00 - 07:00,13:00:00 - 07:00,10/25/16,10/26/16,10/25/2016 09:00 AM to 01:00 PM<br>10/26/2016 09:00 AM to 01:00 PM<br>10/27/2016 01:00 PM to 05:00 PM<br>10/28/2016 01:00 PM to 05:00 PM<br>10/31/2016 01:00 PM to 05:00 PM<br>11/01/2016 09:00 AM to 01:00 PM<br>11/02/2016 09:00 AM to 01:00 PM<br>11/03/2016 01:00 PM to 05:00 PM<br>11/04/2016 01:00 PM to 05:00 PM<br>,1.60E+11,44,Cedar City Council Chambers,"10 North Main St, Cedar City, UT 84720",,09:00 AM-01:00 PM,,ho28567264,false,true,,,,poll30182388
Cedar City Council Chambers,Iron,Cedar City Council Chambers,10 North Main St,,,Cedar City,UT,84720,,,13:00:00 - 07:00,17:00:00 - 07:00,10/27/16,10/28/16,,,45,Cedar City Council Chambers,"10 North Main St, Cedar City, UT 84720",,01:00 PM-05:00 PM,,ho28567264,false,true,,,,poll30182388
Cedar City Council Chambers,Iron,Cedar City Council Chambers,10 North Main St,,,Cedar City,UT,84720,,,13:00:00 - 07:00,17:00:00 - 07:00,10/31/16,10/31/16,,,46,Cedar City Council Chambers,"10 North Main St, Cedar City, UT 84720",,01:00 PM-05:00 PM,,ho28567264,false,true,,,,poll30182388
Cedar City Council Chambers,Iron,Cedar City Council Chambers,10 North Main St,,,Cedar City,UT,84720,,,09:00:00 - 07:00,13:00:00 - 07:00,11/1/16,11/2/16,,,47,Cedar City Council Chambers,"10 North Main St, Cedar City, UT 84720",,09:00 AM-01:00 PM,,ho28567264,false,true,,,,poll30182388
Cedar City Council Chambers,Iron,Cedar City Council Chambers,10 North Main St,,,Cedar City,UT,84720,,,13:00:00 - 07:00,17:00:00 - 07:00,11/3/16,11/4/16,11/3/16,11/4/16,48,Cedar City Council Chambers,"10 North Main St, Cedar City, UT 84720",,01:00 PM-05:00 PM,,ho28567264,false,true,,,,poll30182388
Iron County Courthouse,Iron,Iron County Courthouse,68 S 100 E,,,Parowan,UT,84761,,,09:00:00 - 07:00,13:00:00 - 07:00,10/25/16,10/26/16,10/25/2016 09:00 AM to 01:00 PM<br>10/26/2016 09:00 AM to 01:00 PM<br>10/27/2016 01:00 PM to 05:00 PM<br>10/28/2016 01:00 PM to 05:00 PM<br>10/31/2016 01:00 PM to 05:00 PM<br>11/01/2016 09:00 AM to 01:00 PM<br>11/02/2016 09:00 AM to 01:00 PM<br>11/03/2016 01:00 PM to 05:00 PM<br>11/04/2016 01:00 PM to 05:00 PM<br>,1.60E+11,49,Iron County Courthouse,"68 S 100 E, Parowan, UT 84761",,09:00 AM-01:00 PM,,ho75934591,false,true,,,,poll70029068
Iron County Courthouse,Iron,Iron County Courthouse,68 S 100 E,,,Parowan,UT,84761,,,13:00:00 - 07:00,17:00:00 - 07:00,10/27/16,10/28/16,,,50,Iron County Courthouse,"68 S 100 E, Parowan, UT 84761",,01:00 PM-05:00 PM,,ho75934591,false,true,,,,poll70029068
Iron County Courthouse,Iron,Iron County Courthouse,68 S 100 E,,,Parowan,UT,84761,,,13:00:00 - 07:00,17:00:00 - 07:00,10/31/16,10/31/16,,,51,Iron County Courthouse,"68 S 100 E, Parowan, UT 84761",,01:00 PM-05:00 PM,,ho75934591,false,true,,,,poll70029068
Iron County Courthouse,Iron,Iron County Courthouse,68 S 100 E,,,Parowan,UT,84761,,,09:00:00 - 07:00,13:00:00 - 07:00,11/1/16,11/2/16,,,52,Iron County Courthouse,"68 S 100 E, Parowan, UT 84761",,09:00 AM-01:00 PM,,ho75934591,false,true,,,,poll70029068
Iron County Courthouse,Iron,Iron County Courthouse,68 S 100 E,,,Parowan,UT,84761,,,13:00:00 - 07:00,17:00:00 - 07:00,11/3/16,11/4/16,,,53,Iron County Courthouse,"68 S 100 E, Parowan, UT 84761",,01:00 PM-05:00 PM,,ho75934591,false,true,,,,poll70029068
