name,adr_location_name,adr_1,adr_2,adr_3,city,state,zip,dirs,services,start_date,end_date,start_time,end_time,ev_id,locality_id,index,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
JEFFERSON DAVIS,,302 N CUTTING AVE,,,JENNINGS,LA,70546,,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6031,2027,65,"302 N Cutting Ave, Jennings, LA 70546",,08:30 AM-06:00 PM,,ho56857384,FALSE,TRUE,,,,poll56857384
LAFAYETTE,,"1010 LAFAYETTE ST., SUITE 313",,,LAFAYETTE,LA,70501,,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6032,2027,66,"1010 Lafayette St., Suite 313, Lafayette, LA 70501",,08:30 AM-06:00 PM,,ho20632824,FALSE,TRUE,,,,poll20632824
LAFAYETTE,,"1010 LAFAYETTE ST., SUITE 313",,,LAFAYETTE,LA,70501,,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6032,2027,67,"1010 Lafayette St., Suite 313, Lafayette, LA 70501",,08:30 AM-06:00 PM,,ho20632824,FALSE,TRUE,,,,poll20632824
LAFOURCHE,SOUTH LAFOURCHE LIBRARY,16241 EAST MAIN STREET,,,GALLIANO,LA,70354,Suite B23,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6033,2027,68,"16241 East Main Street, Galliano, LA 70354",Suite B23,08:30 AM-06:00 PM,,ho84666538,FALSE,TRUE,,,,poll84666538
LAFOURCHE,SOUTH LAFOURCHE LIBRARY,16241 EAST MAIN STREET,,,GALLIANO,LA,70354,Suite B23,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6033,2027,69,"16241 East Main Street, Galliano, LA 70354",Suite B23,08:30 AM-06:00 PM,,ho84666538,FALSE,TRUE,,,,poll84666538
LAFOURCHE,LAFOURCHE GOVERNMENT COMPLEX,307 WEST 4TH STREET,,,THIBODAUX,LA,70301,,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6034,2030,70,"307 West 4Th Street, Thibodaux, LA 70301",,08:30 AM-06:00 PM,,ho89355941,FALSE,TRUE,,,,poll89355941
LAFOURCHE,LAFOURCHE GOVERNMENT COMPLEX,307 WEST 4TH STREET,,,THIBODAUX,LA,70301,,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6034,2030,71,"307 West 4Th Street, Thibodaux, LA 70301",,08:30 AM-06:00 PM,,ho89355941,FALSE,TRUE,,,,poll89355941
LASALLE,LASALLE PARISH COURTHOUSE,1009 COURTHOUSE ST,,,JENA,LA,71342,,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6035,2031,72,"1009 Courthouse St, Jena, LA 71342",,08:30 AM-06:00 PM,,ho88531758,FALSE,TRUE,,,,poll88531758
LASALLE,LASALLE PARISH COURTHOUSE,1009 COURTHOUSE ST,,,JENA,LA,71342,,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6035,2031,73,"1009 Courthouse St, Jena, LA 71342",,08:30 AM-06:00 PM,,ho88531758,FALSE,TRUE,,,,poll88531758
LINCOLN,LINCOLN PARISH COURTHOUSE,"100 W. TEXAS AVE., RM 10",,,RUSTON,LA,71270,,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6036,2032,74,"100 W. Texas Ave., Rm 10, Ruston, LA 71270",,08:30 AM-06:00 PM,,ho79909534,FALSE,TRUE,,,,poll79909534
LINCOLN,LINCOLN PARISH COURTHOUSE,"100 W. TEXAS AVE., RM 10",,,RUSTON,LA,71270,,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6036,2032,75,"100 W. Texas Ave., Rm 10, Ruston, LA 71270",,08:30 AM-06:00 PM,,ho79909534,FALSE,TRUE,,,,poll79909534
LIVINGSTON,,29938 S MAGNOLIA ST,,,LIVINGSTON,LA,70754,,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6037,2033,76,"29938 S Magnolia St, Livingston, LA 70754",,08:30 AM-06:00 PM,,ho44435866,FALSE,TRUE,,,,poll44435866
LIVINGSTON,,29938 S MAGNOLIA ST,,,LIVINGSTON,LA,70754,,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6037,2033,77,"29938 S Magnolia St, Livingston, LA 70754",,08:30 AM-06:00 PM,,ho44435866,FALSE,TRUE,,,,poll44435866
MADISON,,100 N CEDAR ST.,,,TALLULAH,LA,71282,,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6038,2033,78,"100 N Cedar St., Tallulah, LA 71282",,08:30 AM-06:00 PM,,ho48450173,FALSE,TRUE,,,,poll48450173
MADISON,,100 N CEDAR ST.,,,TALLULAH,LA,71282,,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6038,2033,79,"100 N Cedar St., Tallulah, LA 71282",,08:30 AM-06:00 PM,,ho48450173,FALSE,TRUE,,,,poll48450173
MOREHOUSE,,129 N. FRANKLIN,,,BASTROP,LA,71220,,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6039,2033,80,"129 N. Franklin, Bastrop, LA 71220",,08:30 AM-06:00 PM,,ho69730503,FALSE,TRUE,,,,poll69730503
MOREHOUSE,,129 N. FRANKLIN,,,BASTROP,LA,71220,,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6039,2033,81,"129 N. Franklin, Bastrop, LA 71220",,08:30 AM-06:00 PM,,ho69730503,FALSE,TRUE,,,,poll69730503
NATCHITOCHES,NATCHITOCHES PARISH COURTHOUSE,200 CHURCH ST.,,,NATCHITOCHES,LA,71457,Office 103,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6040,2033,82,"200 Church St., Natchitoches, LA 71457",Office 103,08:30 AM-06:00 PM,,ho14333625,FALSE,TRUE,,,,poll14333625
NATCHITOCHES,NATCHITOCHES PARISH COURTHOUSE,200 CHURCH ST.,,,NATCHITOCHES,LA,71457,Office 103,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6040,2033,83,"200 Church St., Natchitoches, LA 71457",Office 103,08:30 AM-06:00 PM,,ho14333625,FALSE,TRUE,,,,poll14333625
ORLEANS,,1300 PERDIDO ST.,,,NEW ORLEANS,LA,70112,,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6041,2037,84,"1300 Perdido St., New Orleans, LA 70112",,08:30 AM-06:00 PM,,ho19033718,FALSE,TRUE,,,,poll19033718
ORLEANS,,1300 PERDIDO ST.,,,NEW ORLEANS,LA,70112,,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6041,2037,85,"1300 Perdido St., New Orleans, LA 70112",,08:30 AM-06:00 PM,,ho19033718,FALSE,TRUE,,,,poll19033718
OUACHITA,REGISTRAR OF VOTERS,"1650 DESIARD ST, SUITE 125",,,MONROE,LA,71201,,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6042,2038,86,"1650 Desiard St, Suite 125, Monroe, LA 71201",,08:30 AM-06:00 PM,,ho8578793,FALSE,TRUE,,,,poll8578793
OUACHITA,REGISTRAR OF VOTERS,1650 DESIARD ST SUITE 125,,,MONROE,LA,71201,,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6042,2038,87,"1650 Desiard St Suite 125, Monroe, LA 71201",,08:30 AM-06:00 PM,,ho91636170,FALSE,TRUE,,,,poll91636170
