address_line,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
"W5887 US Hwy 10, Durand, WI 54736",,,ho63031781,false,true,,,,poll63031781
"N4832 Dutch Hollow Rd, Monroe, WI 53566",,,ho94067995,false,true,,,,poll94067995
"nan, nan, WI nan",,,ho81036587,false,true,,,,poll81036587
"24381 Heritage Ave, Tomah, WI 54660",,,ho50628654,false,true,,,,poll50628654
"1717 Stumptown Road, Platteville, WI 53818",,,ho87949858,false,true,,,,poll87949858
"785 Center Road, Brooklyn, WI 53521",,,ho19569221,false,true,,,,poll19569221
"18523 State Hwy 56, Richland Ctr, WI 53581",,,ho21847820,false,true,,,,poll21847820
"W1430 County Road H, Coon Valley, WI 54623-9351",,,ho85630053,false,true,,,,poll85630053
"550 Main St, Plain, WI 53577-9682",05:30 PM-07:00 PM,,ho17904779,false,true,,,,poll17904779
"398 Sun Prairie Rd, Waterloo, WI 53594",08:00 AM-05:00 PM,,ho81178460,false,true,,,,poll81178460
"207 Pine St, Blanchardville, WI 53516-0054",,,ho72573763,false,true,,,,poll72573763
"N8309 State Road 108, Mindoro, WI 54644-9503",,,ho13196243,false,true,,,,poll13196243
"301 Spencer Street, Woodman, WI 53827",,,ho85179317,false,true,,,,poll85179317
"12249 State Highway 171, Blue River, WI 53518",,,ho23371396,false,true,,,,poll23371396
"W29861 Bambenek St, Dodge, WI 54625-0117",04:45 PM-07:00 PM,,ho46773842,false,true,,,,poll46773842
"W9921 Jacobson Rd, Camp Douglas, WI 54618-9570",,,ho57472357,false,true,,,,poll57472357
"29440 Us Hwy 14, Lone Rock, WI 53556-5088",,,ho89819628,false,true,,,,poll89819628
"24454 State Hwy 58, Richland Center, WI 53581",,,ho94427087,false,true,,,,poll94427087
"631 S LIMITS RD, ENDEAVOR, WI 53930",,,ho80041905,false,true,,,,poll80041905
"50220 Turkey Ridge Rd, Gays Mills, WI 54631-7151",,,ho43493976,false,true,,,,poll43493976
"10396 Co. Hwy. I, Viola, WI 54664",,,ho3249958,false,true,,,,poll3249958
"S1701 Sandhill Road, La Farge, WI 54639",,,ho57101543,false,true,,,,poll57101543
"19408 County Rd. BR, Richland Ctr, WI 53581",,,ho64164937,false,true,,,,poll64164937
"23398 Whippoorwill Rd., Richland Center, WI 53581",,,ho57209973,false,true,,,,poll57209973
"24324 State Highway 27, Cashton, WI 54619",,,ho93774042,false,true,,,,poll93774042
"11764 County Hwy XX, Norwalk, WI 54648",,,ho58839853,false,true,,,,poll58839853
"W823 Engel Rd, Fountain City, WI 54629-7523",05:00 PM-08:00 PM,,ho83457389,false,true,,,,poll83457389
"8046 Burton Lane, Potosi, WI 53806",,,ho95287318,false,true,,,,poll95287318
"9830 Park Street, South Wayne, WI 53587",,,ho36958560,false,true,,,,poll36958560
"158 State Hwy 14, Arena, WI 53503",,,ho99049900,false,true,,,,poll99049900
"4017 County Road Jj, Black Earth, WI 53515-9729",,,ho62246564,false,true,,,,poll62246564
"S1631a County Road K, Chaseburg, WI 54621-6600",,,ho64397851,false,true,,,,poll64397851
"362 Spring Street, Lynxville, WI 54626",,,ho75925828,false,true,,,,poll75925828
"22399 State Highway 131, Gays Mills, WI 54631-6235",,,ho3830997,false,true,,,,poll3830997
"58941 Benhardt Ridge Rd, Eastman, WI 54626-8104",,,ho6069557,false,true,,,,poll6069557
"113 Dougherty Court, Ridgeway, WI 53582",,,ho23904077,false,true,,,,poll23904077
"108 Bluff St # 204, Cazenovia, WI 53924-6907",,,ho73968562,false,true,,,,poll73968562
"S6101 State Road 154, Hillpoint, WI 53937-9758",,,ho71520250,false,true,,,,poll71520250
"5674 State Road 39, Mineral Point, WI 53565",,,ho4228867,false,true,,,,poll4228867
"N9875 Dalton Rd, Pardeeville, WI 53954-9755",,,ho34172093,false,true,,,,poll34172093
"S2050 Hickory Ln, Alma, WI 54610-8015",,,ho64896862,false,true,,,,poll64896862
"W9870 290th Ave, Hager City, WI 54014-8348",,,ho58328453,false,true,,,,poll58328453
"123 W Commerce Street, Belmont, WI 53510",,,ho96977982,false,true,,,,poll96977982
"9511 County Hwy B, Chippewa Falls, WI 54729",08:00 AM-07:00 PM,,ho81615015,false,true,,,,poll81615015
